user_id,review_count,average_stars,is_elite
pou3BbKsIozfH50rxmnMew,2812,4.28,1
Er_1k4cl0VwKz9tfIn-FBw,508,4.37,1
kS1MQHYwIfD0462PE61IBw,5511,3.84,1
yqHIwF8hQe0zZsvVug-IOA,100,3.66,1
EMAmvOht754y2ywOl_fcHw,87,3.77,1
OXlfFHsM15JYh_lvat2w2w,439,3.89,1
OKX-V5j_qfuOebeHeWGrHg,2482,3.49,1
-8PU0Z4Q2Nc-sY0eBj4DiQ,126,4.5,1
UKU5x7fgNWzzdpCh3PqS0A,1796,3.5,1
GbhQXcNU-4--jFzJe4H0Mw,756,3.78,1
0Igx-a1wAstiBDerGxXk2A,2733,4.06,1
WCN5fiJ34_pWq0cv23I_ag,164,4.6,1
zftgDC6ecAdXeCD-wSztRA,123,3.8,1
3viH_SSb9QhrCbifTbx0Ng,224,3.64,1
StZTVDuFzahNvjl5qu6l7Q,352,3.75,1
IKx6LzJa7mPNjlGnqAIXpA,55,3.53,1
UlWDGR0QrBbdFsVY6ugocw,885,4.24,1
jzqLpVkB1rg9AssLKm7lvw,671,3.96,1
LOi1qbpl2hTP0cwSDDuyBQ,1630,3.71,1
rp4ctJtEe8_TnG81B7VKPQ,250,4.31,1
mKBl4fAqTfNts7B78aOPVg,752,3.68,1
rt3MZtOmwB0hohjILz45DQ,388,4.06,1
GVo5EQ9MtSk9jR52IzgcDA,19,2.8,1
iCos25g_O3Z5Am9K4383WA,698,4.01,1
N-BU6kAHGxm3Fd4hpNHcjA,7,4.0,1
oVjEx-bNbs2JI1AzBIl_-g,118,3.88,1
KXYRjdlgg-Gw7mwF22ZAJg,450,3.83,1
ZBLZIOrO3DZJzDFlFO-bJw,1915,4.25,1
YEEFYBbBeCMFzlevZxS4dQ,63,3.41,1
27wY36k_bVHmEbKoLkh1wg,397,3.82,1
Vc4QSYKAOf8NXriGXo919Q,530,4.04,1
LcBZt_bpU5CqwtDJwB3OCg,509,3.36,1
v_7lmS6pGGkq6n0X9EljIQ,1118,3.61,1
Ig2ttf1xX2Ihlm0nsykaTw,250,3.82,1
hDRGivuKGsWEMSLvAMxyOw,510,3.99,1
gCPfqjzqyUxJAuz4StqV5Q,159,3.74,1
hBgbpWZJHS-y28xfgshBjQ,212,3.66,1
FtDPI-Fu6D_W4FNH7TqY7A,84,3.53,1
TUR21jv1-_GCwmeO3ouOBg,362,4.02,1
nnImk681KaRqUVHlSfZjGQ,1107,3.96,1
QuZbJquRtbY9O9JrB9NpxQ,1732,3.63,1
3CwMwbY9UgP-qvTDxNs_0g,1374,3.82,1
2ZI7f2CRul38wb_1X1lR7g,636,4.06,1
nabJKapjKahYfTtnBDG6JQ,657,3.93,1
JTqQ9C9S2Qc8_aHtO1965g,488,3.59,1
SGY0ydXxLbkbY-w9E2g8Tg,419,3.88,1
3DxHjoFkMlmgd8qhZhgWWw,95,4.4,1
FPOLMElOP7XpqlwgoT9KLg,184,3.74,1
XbyKDPoPD5TWOa8_5Gijxg,33,4.42,1
JD7L3z31GmOuVsRRPyqdFQ,1900,3.71,1
_5swqa5xUdLar-Q-bBZSDA,80,4.07,1
ZgYe5NVwIK78LAU_if3KfA,215,4.16,1
96Je4EBN4cpolApaqcJ6Vw,141,3.31,1
a4r7b9qJI_1HwfVul-ns5A,1034,3.98,1
u3n-IwGCMVF66cqCLTbL3Q,35,4.44,1
swptR9HtVBPA2FdtxWoyog,510,3.96,1
U58PtxfU9pbJvMRieKoIwA,113,4.6,1
v-HcprOKPC1_F5_15t4JDw,2035,3.99,1
cPcStFGBlk-6lWWsttIfVQ,2280,3.63,1
h3KpLypa9SZEw2ydFNC19Q,783,3.59,1
TVN3qoXU0-sateboutdCZg,695,3.71,1
qbtznqJqPl4-7hXkJBE8jQ,644,4.01,1
eopmkPjbMQz9uh1hnZ8nhA,176,3.27,1
ge_yqJd241NMPuyOS_J_LA,972,3.79,1
7tIaG0p7viFi0QNIgkqCyg,190,3.23,1
1pzP58PeWictHQzctMU0nQ,1393,4.14,1
tXI5GghK7ljFufyFlCFmVg,203,3.89,1
re3AdczLFP4D7xwI6DkBNA,2927,3.65,1
tmWwHfhaR0bNTKlr9dXsOQ,642,3.89,1
UvSOYVwqwyzNr40AU1t6Yw,1096,3.43,1
90anotHbC638MaU1C15dTA,130,4.15,1
PLOYtrCMUFPHQe2IbYAd5g,2956,3.69,1
nkBpODDjnP-nD9uz1Z4YsA,580,3.61,1
HhffhDgUv8hs4yBKzocKOw,296,3.92,1
4evJSrSW6WjxlXf33FtdqQ,44,4.46,1
Ue_b9PgmrrT0gLElBQBuDA,99,3.47,1
PsXhJHX255QM8FRw-dvh-w,98,3.31,1
y6nCJj6kP4ynm1AvGlcmkg,301,4.02,1
Ff8hG_00h6SO5unNTXPFQQ,259,3.44,1
2B_Zbrzzx8y5v5DTCWzM2Q,31,4.58,1
hEoCgGklQtYQzgAPeIaWTw,298,4.07,1
n1pp7Kqj9p9HQACdbabkFQ,567,4.41,1
kLOvp6kJN_56bjkiBs24hQ,1040,3.95,1
EzXDaJjdCwMtWdBJiRcC6Q,907,3.88,1
chgTnp84tlV4UUJlfIVJzA,806,3.38,1
2fAtJ92btz4xeo9JFHwXkQ,430,4.07,1
TR7ezcRznfr1Jif7euZZJg,794,3.87,1
H2DNqyt2CR5a8Gv3Jisqhg,665,3.91,1
PHriqw75fTorZsQoNIfErg,27,4.86,1
rLqzi27iiyNUUYUe43B9lQ,497,4.02,1
PwOr3Jnst2noM37Lm22zmQ,259,4.11,1
D4EG9ik1ndo8-QiBqwnobg,38,3.35,1
euC3oMDEbMDCmOD94-X5RA,11,4.0,1
Hxx8FmhpxiugIrGRh8RDOg,754,3.83,1
sh3V6hnNMLVV9YwFA9QNaw,895,3.5,1
5kBAcCsBy2ip8VA4YPFDkw,85,4.51,1
-SigNCNItQDtSq27j0t_tw,199,3.83,1
cMIVlEuCKkiEo1QkPBbMaw,1283,3.11,1
6ObFF8-uKnOAlXuSH4TlyQ,1245,4.33,1
iPkdNziqnhNukjnmsrSzmg,974,3.9,1
j0eBR4rcbtpylG6b47TD7Q,725,3.62,1
oWxy_YR6n2w8e9L00hxhPw,422,3.5,1
KDz7BjsuBjAxBw2gF3KFQA,236,4.16,1
nXMMoDzXRByQiWH9cf-FAQ,1143,4.06,1
P-7VidyXqOGd6zBnT85pDA,497,3.67,1
kKPbWlBjpSL3Qzvtn_AaPw,446,4.0,1
91z9RokpfMdwbxkdAA3-nw,134,3.66,1
W83aZrDrYKwycCHB_eOYYg,1024,4.08,1
BvIIvQqPJ2cKC8eaSxOFpw,629,3.85,1
kHmXUEOAsIbguUrPoX6Tkg,236,3.59,1
xuobDpcGFkb555nkyQVXXQ,42,4.42,1
U-blmCm_qUbibUUgqDSB_g,2814,3.71,1
ZdODEy4O0-nPdPKwkdQkdw,377,3.89,1
qiEgqJetYtjDxLZ6HwDkhw,974,4.11,1
h2LtQ1s5X20d0yrdqUMJ0Q,1728,3.36,1
sIVS3nBli3iOweJ_UyC1eg,123,3.15,1
gfQqQYI5_hCAGEHlHXIz2Q,2113,3.81,1
tUVprgEsy_yIdq7nt2JtlQ,72,4.21,1
KVN1eio-4QU3zlkPmZHRFQ,625,4.04,1
5lXLfyND3naSNHEuiHsjmw,1289,4.03,1
ZOmHHLEYTXxxs3nWJhKoaA,302,3.73,1
mphvb6MRmPgnIT8pmU-x0w,1906,3.86,1
TLdMXf2gt9Am9LOLL_T2FQ,737,4.24,1
_qb4WweWMYLA4fkaVlz7aA,81,4.3,1
VdGROLLl2il5-gXmdKkUMQ,698,3.19,1
nmdkHL2JKFx55T3nq5VziA,8363,3.75,1
19MQQFLbpI5z6PYhHrG2mg,171,4.15,1
8M4_nA8e9VacrirvCwrl8Q,724,3.38,1
ao-AH4CKrHlJLdrxYm9reg,806,3.95,1
5lGlW4W9I2EP3KPEc-M2QQ,87,3.71,1
t-nB38eHbeFuabXBdJMwvg,482,4.07,1
vr-Rw3nMKIgGrVNT6A7p9g,554,4.07,1
vMdZdazzQxRU9fvntAwRzA,215,3.93,1
pzbE0dUl9XfTbiBR8Lcmwg,25,3.88,1
s_BTuoryMAkBIOcQeb58JA,44,2.71,1
qSzQAYPg87134iPasWOMxA,508,4.12,1
t_hEsld990dLmElaZ1gbbA,106,4.04,1
uBkWIFiLqousZqRbERKoAQ,121,4.07,1
IAFoWYEIAnp_qeS7tKboEw,54,4.48,1
ziV4WP_am28MwNIBBaTztQ,29,4.16,1
dCATwLTGaDZAbSFxA-4pkw,760,3.48,1
XlF_Od3qOngwITJAX4g2ZA,155,3.35,1
sIICI_uGUcOJzNf603CdCA,42,4.45,1
vimEpZnvi38O0Vz5uaNj4g,565,3.98,1
8wQIoFapkegkC5fcVYg_Iw,1148,3.68,1
avXvMybPionb-Kt_MX5Grg,208,3.71,1
Phta7D0IREvoW-XQTp9PLQ,169,3.96,1
CGRkejdGiNtvX-lhcOFUZQ,1358,3.76,1
2qW-VO3UxZSU6HSHQ7fh7Q,873,3.69,1
nPXVprOV3ioobtAc_s7-CA,511,4.11,1
qsixwabdZVIerYFcQ4C3bw,196,3.66,1
bYENop4BuQepBjM1-BI3fA,1562,3.92,1
nKVklvB7yZ56dc_8bnLpfA,575,3.91,1
nLOF2qXMJfTbbcVtDo8oZA,293,3.66,1
1p8Pu1pvAsuNtuZDtn2OkQ,718,3.44,1
nzfx0ElyVk7dq4vdTg_ncA,249,4.51,1
hWDybu_KvYLSdEFzGrniTw,16567,3.67,1
MEa1LSKvSjs8-wZdEpa0hA,224,3.06,1
VXsXnyFqUiDUSxHMnj2L_A,48,3.5,1
W1AFbtC37Q1RzdrKS51NmQ,456,3.68,1
bwq4VuSXz4Xx1P9CPQIwCg,113,3.65,1
6Zx7YiKFYXwqWXQBqSxoYg,427,4.07,1
6oJzbP6dqPYoaSuCNKaITw,1409,3.53,1
lmL1P6wJi0Z8Jg8DTPqawQ,2148,3.56,1
ZCVEZmTB_StK-UXA3WPVlQ,523,3.56,1
2iS1vg5TYpV_iEiNC8osTg,1672,3.47,1
3_gu2q8XK-TZYXP9B6mrag,236,4.17,1
Bq-BIdYrWloJXq6v6v_iiA,279,3.99,1
__GHy1xxetn0SBqP4b_odA,33,3.64,1
5R3m-2idPFpYq0oRwCK0TQ,286,4.07,1
UXTsDU3DJLW380wgcExy-Q,176,3.12,1
QjP_u1S__spN5E-fxz8Fog,111,3.4,1
3dRVjqp-fnlwaKcmFT3eGw,18,4.48,1
lAW03ccfMEuRZiDqvVgc0w,1578,4.03,1
AE8nHSRPFlB4nh7CP8PlGQ,1226,3.89,1
Cbr8ES0BPeXzmGssfgIvqg,272,3.73,1
fD6FZMW1V5l0oRD-fICb3w,180,4.13,1
oOsjFifsg7-owhmL-GLssA,281,3.66,1
dQ9-MQF4oQhAOrbIhWpz8Q,259,3.2,1
wnrHhjDpQk5uLUK7Iku75A,321,3.98,1
mbDmR-HBmn310hfijtVHVA,490,3.57,1
IGmx0dlJB2Tqscqb3Vyfmw,72,3.36,1
OsgjABP65Oc0hCWva9J1Sw,60,3.72,1
2OjNNLpCCGrtfQtpcbhlkg,1114,3.71,1
NMgxbNj2QNXksksWAcr3Bg,26,4.5,1
S9vtNMvKK3B8V6dWaiS0Mg,456,3.66,1
fJ1hd2tBmLoHnY6EzQcRQA,26,4.19,1
JuCgoHYJww70wX9M8ndKnQ,357,4.04,1
eAWnP9ZeVo8kp808y-0LXA,319,3.66,1
VcLLeF5BJwwF505funAsrA,423,3.22,1
2mehWDiaP-8CcZRtLGlYIA,815,4.31,1
AIjA_jJQyAhoxtYd335Ekg,692,4.08,1
M0AnYyp5EBMryhTNHR8oqQ,492,4.02,1
4jlAgnaVjPxtli-Vakc60g,21,4.23,1
EbzIOck2feoZrGxRjyPDyw,308,3.75,1
l336nYnQ96P_yu14ZCSqtw,86,4.04,1
amnZWDsws50JobC4t1V8Yw,146,3.38,1
B-s-8VUnuBjGTP3d01jsyw,2505,3.74,1
LkXNQQaIc5yrKu9Ap87RrA,1042,4.12,1
Ga83B9mIJNDjmsJ23QmzlA,167,3.34,1
AQxmbuDiToMv2WYtq4Mfdw,785,3.74,1
I-QjDKhzzZGHTbOKHNvl3A,80,4.3,1
kOgFAv7RcaOofOPcj4cCUw,20,3.86,1
oEgC54C4-OOlByKNs6znNg,70,3.85,1
1OIwsi776TrNCcdXJCr1zg,16,4.25,1
_YBX0Fy9pI0ktOQ9RtFhAg,371,3.81,1
rRpZlyWw7eKKwIs6worKsA,39,3.23,1
uxOjXmWuuEuHmF6rXFZfSw,197,3.36,1
DsSTEHDUdXQsk7tknLtQSw,122,3.28,1
MdAEKY_32pX-F4j7cYy3oA,183,3.72,1
r3QexFIhBXBT99canAgVEg,1130,3.68,1
1kr9EZFV3T_l-8KBkfPo5Q,812,3.98,1
XKB8TlxGJP4Ymcm3iWnf2A,19,3.33,1
eNN26o0h1l_dNf-Ya1lmlQ,268,3.77,1
bi76Ih6tRv-ghYWFCJ0dag,151,4.01,1
v95s9p50rurFb1x2NmY4qQ,334,3.09,1
Y_2jMUKz6pvJ0JSWG3u10A,724,3.91,1
IsXy4uiCoElOhmEdLY7QTg,121,3.95,1
8VPCVY70TcE353gRruotWQ,729,4.24,1
N15Yyoef1gWQI1IV8eJS-Q,31,3.29,1
Ky38LPjdwrov3BS6LaVJDw,79,4.05,1
ivW0Vad81qJ8SIgqJ8p1Mw,1970,4.03,1
mRJUopHxaSy1yt3uo6m0Cw,148,3.6,1
rohwiags-kVO_IgYK1sIfw,185,3.81,1
XOych7X-urbdIqyCSuN2Ng,8,3.13,1
m3FleKsUG-1UNqJsJZid9A,1300,4.13,1
nZ6fZPcOSYEFEdqB-aBgUw,533,4.03,1
xj3u-L1K5Dhq511eA2Z6Gw,1265,3.75,1
CNaHLXC45cR07vtDeFYeww,742,3.92,1
8VAyS5JnW4zlJ1nZ9mFs8A,6,5.0,1
hVPyu7QWaSQgOlz0rppmkg,542,3.76,1
OH7BobSil_ds0tLGdpmn5A,820,3.77,1
pSUp9rQHnNHzzYHMMd_mVQ,223,4.11,1
ZTkuKoOt2vp584A-8hDvBA,395,4.28,1
lIMA29eEeNsYWF5VaflG_g,1167,3.77,1
i4mrPOgd4Caf3v_TyVuseA,36,3.97,1
zWC1npRbmWO2bZRt2fYgfw,227,4.51,1
Im2l5juff2JF8aJWi-pOEg,639,3.72,1
6UPFrXF2dlzlHn5D7cEt5A,479,3.98,1
omtZLg0ryIeaJfLTM7JPIA,1968,3.8,1
ZTvil7E2JbtORKm0bu6MKQ,312,4.17,1
W0TobKzkaqtOZpIe0CrENQ,980,3.84,1
Kbl3Pycg1SkH9pjch531UQ,1503,2.86,1
tp8Hka1k8dVzhLwhYFVClA,45,3.6,1
j7MWMYnIEy1kvnScKLaeSw,600,4.05,1
CYtKqfxO78q8MN6HX2JnDg,491,3.88,1
X4pH3pcK6L9Cs6hm_87T7A,355,4.01,1
QmZicnPY5HjUMkrGWZK6OQ,64,4.2,1
eADI5HmnMXd893zg29dWVA,138,4.26,1
Ase_kJIYuT6yOsqqVPuWUA,1134,3.69,1
kw94ZTswIkaYVs6gkppcnw,448,3.92,1
46Wi08T5D3phf3SMgi7U3w,838,4.12,1
umtgodwJQ4e7MUxtZ4MEJw,76,3.29,1
1jEmjihu1sFi5W5fmGbGOA,48,4.1,1
4GEs5ZA6debLrqpgFnIVTQ,100,3.77,1
lFLSuHyr22QfQxr26KkvGw,66,4.32,1
oXYuRa_UDJqcfxfjOPRKxA,440,3.99,1
H6YIeEzo7CsXyRxVBxbg_Q,91,3.13,1
MfAo-QPgFrcziuygx27K5w,375,3.56,1
4ll-oTtXQ_ISmxqGYLvX8w,682,3.39,1
hRcFm2x7ta6dVIO7iVsL7A,171,4.17,1
AHRrG3T1gJpHvtpZ-K0G_g,2492,4.33,1
NpXYHTX4oB1TD1SBOWdgVg,113,3.04,1
tG8jt8ZB9LalIRZ2ZtlVvw,442,3.28,1
vf1c4eqpNGweHQqJcjShFg,524,4.32,1
7gNtYzygF7dB8e7k1mWdjA,1298,4.21,1
A6ZlIsEvMqHL8kX41u6uIg,9,4.11,1
cJCYCEfDL4n5TgU9y8RTWg,2100,4.08,1
jBzITjfkC7M99oN6a5HErQ,678,3.62,1
zM4PspEQQSaBcmrC5QK4lA,18,3.78,1
Mc4C7fVY0sEcD-U5eOA2Og,479,3.79,1
_aR5B9L1uvvRG71GMJa76g,85,3.66,1
lvGlIBv4xkHiQBnNOuRYZQ,2196,3.79,1
zUKeZNu4tCG56xjwWH54Vw,2877,4.13,1
HDHA_fJ0p60lHqVl3-vkug,134,3.93,1
br8DeFG9MxyAmDovXXpssg,153,4.32,1
RQZ8haI5tUn1YAUgPsZ45A,26,3.93,1
sCshdCwCQlXh_NVcPeTObg,444,3.75,1
MdUimpfJQHijcy1DZu-r4A,361,3.67,1
85hUvyTE0UA7eDMI18OMOQ,678,3.25,1
Oux6Bx7OQYa2biSdlBI6uw,117,4.16,1
nqHmFx837BIlsYNX5LsR4w,147,4.34,1
NWUQCWiY0w97l2mcWq9GAQ,249,3.78,1
vN2wUfNTsb6VGrd8lQVuvw,166,4.25,1
JzwXJgike6WrfTsqvdB1fg,275,4.05,1
d_TBs6J3twMy9GChqUEXkg,2500,3.67,1
E8WOEXGhU9OrF14QXtMGKA,257,4.11,1
5CpIu_UkdVfrri5t2nKBnQ,82,3.28,1
4BSKXV3QMeDQKqoOthvZng,207,4.08,1
cCeCQxErE9ToaQQBEVFuFA,595,3.97,1
dsX3MiQiTy3OVI8MKn0I4w,2046,3.69,1
K-hvr3qqcRlJcwkISgOpOA,373,3.49,1
CfX4sTIFFNaRchNswqhVfg,1405,3.74,1
s36amr8n8utKLguQ4Uy_9g,113,4.45,1
trf3Qcz8qvCDKXiTgjUcEg,114,3.19,1
29buG-NLQkLHwz8B2Newcw,680,3.74,1
iWGd-g3aqQLAzSX9D9Y2rA,318,3.94,1
kwjfwrE4Qs6ZblePxNeQcQ,1256,4.01,1
B8c17RLH6AaglKN-jW4RwQ,447,3.65,1
iliPyjM1n5TMV6QaCfCNIQ,33,3.11,1
4gAD7fnWZNYP3TIMJGyt5A,101,3.58,1
8rzqG5NLuDlnqE49USzvTw,1931,3.85,1
oiXLUiDACGTV_uKeaZjiug,709,4.29,1
cFaHx-FkCnzdfF8BccukIg,987,3.47,1
5gbLsciKwh3yw9pRAaiV-Q,1320,4.06,1
BnBQ0UU9uSiI_0cbCZ4lsw,814,4.2,1
jL41h4Ez98PZfqiKzbbY1w,477,3.94,1
FQ-zmWPEG_pjSQx6pt3Efw,293,3.9,1
sorYbsGc62VebspNYw7WSA,309,3.9,1
vSfsPIQqQfXX0-TXESr2VA,16,3.24,1
Zn8tgekH0oCfyk4SUtygoA,1635,4.03,1
kQX4IZc95PkbkMcS9UbYOQ,642,3.82,1
_i3uTqtUfyVZDryKzUGGiw,643,3.52,1
HGTdyEDygTqANThO64WDWQ,2416,3.76,1
un-ydfp7ej4mYH7aapnOoA,338,4.44,1
5kL_t1bDR4HLDq_xNo5KZw,471,4.37,1
6toEhpmJxknHFKBw5u3xWQ,381,4.0,1
3tS4en9ZM3m5RLt6t_f5rQ,206,4.47,1
nyVMucNs6I8N-COK18Ml8w,168,3.89,1
3Pp8S-cFyiKHghXUK2h9BQ,176,4.35,1
luM_UHp6Yc4fdI1yKQZ_Pw,28,4.17,1
wfi0T-xq_P5sKQvwQitlYg,1193,3.59,1
9PIMv5G_TsPIZ2EhknR8ZA,169,3.91,1
dc_1rBcKAjub2Nsh2HBvhA,421,3.59,1
I6chm-B8jTr48Ig5EuSynA,4,3.75,1
A0j21z2Q1HGic7jW6e9h7A,1636,3.76,1
CtgTtg3JXpkma0XP6xqkvg,985,3.55,1
Y-sQl5kpH2gZ__IPnDt5Fg,6,2.71,1
L9ZJpCQgXzfNXiJI9ahyZw,1042,3.95,1
ntuBTxE9M9IeucKeMtYPyw,212,3.62,1
lLM0kPqTuGlBlbJ2veYGxg,133,4.01,1
moNhelvHfXSh2BtlpGiDvw,1834,3.77,1
fuuhCaOp4qoh8lNjWD_BvA,339,3.62,1
d5Gv1XT3G86bU4QUsLtK2g,278,3.54,1
kqhR7c4ZhWhnkhXNHlt6tA,174,4.56,1
NMLvjdY7IOdtfU0TepvUuA,483,3.46,1
X26028b-8PmvFyprCfOiWg,245,3.59,1
CfHKItb0j43Cm6e6L6hhcw,106,4.66,1
gSLdJ56_TdzSq2kkUi0kGQ,137,3.25,1
v7zAP5ogSIEzn0mjUqKtlQ,121,4.16,1
P9Q83YzUJEHoGRFANensaQ,52,2.44,1
mVA4IeYyVKPUWRrN5oplMA,2715,3.74,1
B5s_DCLVrBLrL8U6TEVlwA,792,3.77,1
J10glDXz7JOEE7wGA57dCA,496,3.79,1
vpHo2fv9PrCh0cQueJg9Yg,292,4.3,1
N_YhgzpcirpEcfNORYCxgQ,85,3.62,1
WB8Kro83ZJR8MyIQy-bQoQ,111,3.83,1
_pok0EzLh5_WXVJR9UEMPA,12,3.83,1
UEIOT1JdvCDIXLN8dQIiGg,500,4.25,1
Sf3LGHUsHr5ZocB5b2TdNA,399,4.06,1
lQttOvOc30AV5r2QyNRvKw,475,4.36,1
zpWizDgUk4-rQJXdjiBY1w,791,3.7,1
5jfLHtba3HYnRAWM6z2QyQ,355,3.36,1
reJ7c2yq3f8dODMslzODUQ,405,3.73,1
cCiWhjIArUPB3PY7G69spg,81,3.52,1
T9nmYu1cA9yU8lsVO_S_MQ,54,4.12,1
ODjvFPV0nNlMjEcqOh-gwg,180,4.36,1
0ackih4Gue2nHIFzUNhpLA,320,4.01,1
20-puMbCJsQoFOy_eitJZg,45,3.59,1
p-2IAtX8YNSpdGr4Tb0MGw,35,3.74,1
TKh6KhL749k-aNzNske4rA,26,3.69,1
_b6DPOY2z1jnDcLv4wv_zQ,17,4.2,1
3bfphnJ-_4LHEfv5qGC_kQ,10,3.0,1
nlQGyti20c07rpTSYYoNZQ,685,3.94,1
_KELx-e650WBXS5sXUpIQw,248,3.79,1
5NY29yfnYeLMvcMx7TRBXw,28,4.17,1
qKxfod2ONDkQmJhYCqBwlQ,60,4.03,1
D8CF2H3DYtNJlzR0IITMHQ,323,3.32,1
mZo_Hx4JuOefo0iIvxVXpA,112,2.48,1
SbpGncVoxFIi_J2xOelJYQ,900,4.04,1
vPaSJfqUBDTvbSHEUhNvVw,22,4.41,1
FlvxeXfNW8IHDYDIsHjSgg,327,3.75,1
xeel5lpuC6TpzhxF42oO3A,65,4.49,1
CcOgdfEJxgrxTAwag5k18Q,835,3.88,1
r2LwsMiyWD0AuS4_9P2ihw,17,4.65,1
h3KYuVHhr59Q-UFloqhLHg,386,3.09,1
zBWSORvlWDmwtcx6627qWQ,523,3.99,1
4xpo1s-gb9SeJg4ppSzobA,215,4.07,1
S9Jw00eZHVj5_0sOM_C5Rg,1484,3.89,1
MdaiGLPoMby-kr-JMw-cZQ,143,3.13,1
sj6MuZEA5To_lYn2acfaXQ,482,3.73,1
_ZcfXuEo4z4MwZiszdqnHg,67,4.27,1
Kd7g5vuXoOJm9QH24Mfo6Q,41,3.09,1
Y5Rabda5NCARNlNN18hHZw,350,4.08,1
VxQdmAO6lghp7_ZG0hpojA,577,2.88,1
vHc-UrI9yfL_pnnc6nJtyQ,1135,4.43,1
pu_AQig2fw40PshvtgONPQ,564,3.68,1
KzKb7hRHw45AScttackzWg,1220,3.55,1
6SrDnjcBVhRrin85tbwDFA,92,3.96,1
_xToQ-zffwfZuSkTHGV0cw,38,4.29,1
it27xs8sb2jZ_LCPVzdcqw,99,4.34,1
RQSt9_sBns05BTqHB6dTRA,25,4.43,1
GHSUUoxE9IZOPMbZp1YyaA,205,3.55,1
WPVaxI9MQpaeoikOozY2Dg,157,4.75,1
qWYEuBZP7av55tewg3PXKg,2360,3.85,1
3bjpq34ANHTwicwnJ74PWw,216,4.33,1
6LYVWmmUMgyZYnvKhobgXg,131,3.84,1
qY1QtZlF0-OfiXpgoSUZNw,28,4.39,1
yWz3PUBQK9EaEXZ3HGRNow,21,3.86,1
WFAZQyWYj9bBxggA9l603Q,199,3.97,1
ihTu74HkXnKGuY5v_Z8b0g,389,3.99,1
K17847uudqPFPIjSPgxs2A,530,3.69,1
qMUVULJZ_acMAm78dx8IQg,687,3.58,1
qjfMBIZpQT9DDtw_BWCopQ,2331,4.08,1
ppsm8EDKjA1fp1yTCP3RrQ,1187,3.69,1
lRRuTimITgwzoXLIM3g9qw,478,3.71,1
g_1T5bDb794cASniTbXeLQ,42,3.38,1
nr35WjC-YI0dFcsnW33Szw,991,3.76,1
9u_oGyBcSkYof_SagOVARA,35,3.85,1
AshBB8EMCttPOObB3ez6SQ,613,4.28,1
NAaivzPy-1wVLWp9h5BAYg,316,4.22,1
-0-50Z_lmp-VskNCbH3Fqw,16,3.5,1
yfd8aLq6SvTFz491yPUJtw,40,3.37,1
TFd58W7ivgGrHmvwJPVPDg,64,3.96,1
Br_Smhj4sBAwXDm5G-a8tg,57,3.54,1
hCVUc1201tujHb6jKkew3g,54,2.93,1
f0EugN7cnoWz2Sq4sUyS8Q,164,4.64,1
9LJVGJCUYP71Yw-8K9p1qw,18,4.0,1
